file	photographer	people_in_frame	consent_given	date	notes
# One line per photograph, entered BEFORE it ships (EB §3.1).
majlis-01.jpg	supplied by the Founder	friends of the Founder	Founder, in conversation: "they are my friends. They are aware. They're happy… They want to see themselves on the website."	1448 / 2026-08	A majlis. Captioned as a majlis and nothing further.
gathering-01.jpg	supplied by the Founder	friends of the Founder	as above	1448 / 2026-08	A large gathering. No claim that it is a College occasion.
study-01.jpg	supplied by the Founder	a friend of the Founder, from behind	as above	1448 / 2026-08	At the shelves.
study-02.jpg	supplied by the Founder	a friend of the Founder, from behind	as above	1448 / 2026-08	Between the stacks.
dress-01.jpg	supplied by the Founder	hands only	as above	1448 / 2026-08	The kandura, cuff and trim.
things-01.jpg	supplied by the Founder	nobody	as above	1448 / 2026-08	Flat-lay. No person in frame.
majlis-02.jpg	supplied by the Founder	friends of the Founder	as above	1448 / 2026-08	A second majlis, seated. Captioned as a majlis and as an analogy for the ḥalaqah; no claim that it is a College occasion.
dress-02.jpg	supplied by the Founder	one person, face not shown	as above	1448 / 2026-08	The ghutrah being wound. Head and hands only; the face is behind the cloth.
#
# NOT PLACED, and why. Ten photographs were supplied beyond the eight above.
# Consent is not the question — the Founder has given it plainly and twice.
# These are held back on EDITORIAL grounds, and the decision is his to reverse:
#   two grand-hall receptions   would read as College occasions the College did
#                               not hold. It teaches at a distance and convenes
#                               nowhere; the photograph would say otherwise.
#   a counter with bottles      whatever they hold, on the site of a college of
#                               the Qur'ānic sciences the reading is a hazard
#                               that no caption can undo.
#   three car interiors         nothing in them touches study.
#   two flat-lays of a watch,   these read as luxury goods rather than
#     a phone and a watch box   scholarship, and pull the site toward a
#                               lifestyle brand, which is the opposite of what
#                               prestige is doing here.
#   a second gathering          duplicate of gathering-01, no new subject.

